1,43,13,false,478,9,4,2
2,43,12,true,342,7,2,1
3,17,18,false,685,5,5,2
4,72,24,false,713,4,5,2
5,35,9,false,466,9,5,1
6,35,6,true,722,2,5,1
7,65,5,false,842,1,4,2
8,35,20,false,244,6,4,1
9,84,2,false,435,1,3,1
10,23,2,true,967,3,5,2
11,84,7,true,395,8,3,2
12,84,5,true,341,4,4,1
13,23,1,false,778,7,4,1
14,27,19,false,441,7,5,2
15,21,23,true,234,1,4,1
16,84,17,true,587,9,3,1
17,35,5,false,876,6,5,1
18,72,9,true,876,1,2,1
19,55,6,false,282,4,3,2
20,23,10,true,624,3,2,2
21,27,2,false,607,7,5,1
22,43,20,true,638,6,5,2
23,17,3,false,782,4,3,1
24,84,8,false,605,7,5,1
25,72,19,false,994,3,3,1
26,65,1,false,206,6,2,2
27,17,10,true,525,3,3,1
28,65,2,true,239,2,4,1
29,27,5,false,523,4,4,1
30,55,22,false,884,1,5,1
31,27,22,false,937,5,4,2
32,65,18,true,749,4,2,2
33,27,9,true,483,5,2,1
34,23,4,true,307,7,4,1
35,23,10,false,284,4,4,2
36,72,5,true,647,7,3,2
37,17,9,false,984,1,3,2
38,84,10,false,515,3,4,1
39,43,14,false,720,8,2,2
40,55,23,true,207,1,4,2
41,65,1,false,575,1,3,2
42,27,20,false,892,4,4,1
43,32,16,true,417,6,2,1
44,55,20,false,902,3,2,2
45,23,1,false,229,9,3,2
46,43,24,true,822,5,4,1
47,55,9,false,602,8,5,2
48,27,6,false,560,5,2,2
49,21,10,true,246,7,5,2
50,65,18,true,275,2,4,1
51,21,10,false,203,7,4,1
52,23,18,true,789,9,5,1
53,32,1,true,253,3,2,1
54,55,2,true,201,5,4,2
55,27,14,false,282,3,2,1
56,43,20,false,335,7,5,2
57,84,1,false,713,5,3,1
58,23,19,false,477,7,2,1
59,17,11,false,577,7,5,1
60,43,24,true,398,6,2,1
61,84,20,false,974,8,5,2
62,84,4,false,240,6,3,2
63,27,19,true,522,2,2,2
64,65,20,true,569,6,5,1
65,21,5,false,784,8,3,1
66,43,8,true,461,1,5,2
67,43,5,false,244,2,2,1
68,55,1,false,720,5,5,2
69,21,11,true,571,6,2,2
70,32,19,false,729,1,5,2
71,17,20,false,817,2,3,1
72,17,2,false,391,9,2,2
73,43,6,true,396,7,4,1
74,27,11,true,609,1,4,1
75,55,11,true,283,5,2,2
76,43,10,true,237,4,3,2
77,23,4,true,288,5,4,2
78,72,3,false,450,1,4,1
79,21,16,false,894,1,5,2
80,43,6,false,294,3,4,1
81,65,9,false,604,4,5,1
82,35,19,false,229,1,5,1
83,72,1,true,459,3,4,1
84,27,19,false,590,3,2,2
85,72,8,true,587,9,3,1
86,32,6,false,611,3,3,2
87,21,24,false,622,4,3,2
88,32,16,true,484,5,2,2
89,35,21,true,408,5,4,2
90,55,7,false,286,2,2,1
91,35,19,true,738,8,2,1
92,65,12,false,313,2,5,2
93,35,14,false,492,5,2,2
94,27,16,true,683,1,5,2
95,23,12,true,462,9,2,1
96,35,22,true,366,9,5,1
97,65,24,true,784,4,2,1
98,17,11,false,637,8,3,2
99,27,11,true,267,4,3,2
100,55,23,false,432,9,3,2
101,35,16,true,362,3,2,1
102,55,15,false,724,4,3,1
103,35,24,true,769,8,3,2
104,32,20,false,986,7,3,1
105,55,6,true,707,8,5,2
106,72,17,true,237,8,3,2
107,43,2,false,597,5,5,1
108,55,5,false,700,8,4,2
109,55,6,true,312,7,2,1
110,55,21,true,606,8,5,2
111,32,16,false,823,6,4,1
112,35,21,true,295,1,4,2
113,84,17,false,917,8,3,2
114,55,19,true,447,8,3,2
115,84,23,true,496,6,3,1
116,43,2,false,749,1,3,1
117,23,11,true,434,5,5,1
118,21,8,true,928,3,4,1
119,84,14,true,448,7,3,2
120,65,20,false,241,3,4,1
121,65,18,true,229,1,5,1
122,35,15,true,247,6,3,2
123,35,4,false,690,2,4,2
124,55,9,false,863,3,4,1
125,84,23,false,467,8,2,1
126,32,14,true,462,3,4,2
127,17,18,true,634,5,3,1
128,17,24,false,441,8,2,1
129,27,20,true,430,4,5,1
130,27,22,true,480,6,4,1
131,21,3,false,633,5,2,1
132,43,5,false,418,6,5,2
133,32,9,false,653,6,2,1
134,84,3,true,977,1,2,2
135,35,22,true,203,8,2,2
136,55,15,false,453,4,4,2
137,35,10,false,485,3,2,2
138,72,9,false,378,2,3,1
139,35,12,false,567,8,2,2
140,32,12,false,493,8,4,2
141,32,17,false,728,4,3,2
142,55,20,false,496,4,4,1
143,43,12,true,951,1,4,1
144,55,10,true,719,6,4,2
145,35,21,true,774,4,5,1
146,23,3,false,425,5,4,2
147,72,6,true,262,5,4,1
148,43,24,false,811,2,2,2
149,23,20,false,528,1,5,2
150,65,16,false,409,1,2,2
151,23,11,true,247,9,2,1
152,21,8,true,303,1,5,2
153,35,18,true,643,7,4,2
154,27,15,false,446,8,5,2
155,65,22,true,683,4,4,2
156,43,19,true,980,8,2,1
157,23,1,true,606,8,5,1
158,72,10,false,406,8,2,1
159,32,1,true,500,7,4,1
160,23,5,true,717,1,4,1
161,35,23,false,484,7,5,1
162,72,11,false,939,2,5,2
163,35,14,true,872,6,3,2
164,17,15,true,992,4,3,2
165,17,22,false,229,7,4,1
166,65,18,false,765,5,3,1
167,43,18,true,769,5,2,2
168,72,20,true,718,9,3,2
169,17,8,false,344,8,4,2
170,65,2,true,610,7,3,1
171,65,3,false,217,1,2,1
172,27,19,true,382,7,4,1
173,23,20,false,829,3,3,2
174,55,8,true,982,5,2,1
175,84,22,true,488,6,3,1
176,21,17,true,655,6,2,1
177,65,18,false,757,5,3,1
178,23,3,false,319,6,2,1
179,17,4,false,601,9,5,2
180,21,13,true,713,1,2,2
181,17,23,true,646,6,4,2
182,21,21,true,463,9,3,1
183,17,16,false,751,5,4,1
184,27,23,true,389,6,2,2
185,17,3,false,247,1,3,1
186,23,24,true,822,8,2,1
187,17,11,false,519,8,4,1
188,65,6,false,644,3,2,1
189,84,14,true,981,8,3,1
190,27,23,true,540,6,4,2
